area_name,description,house_type,m2,price,price_sqm,build_year,floor,has_elevator,condition,own_property,energy_class,fetchedAt
Malmi,5h+k+khh+3xwc+2,ok,"88,00",395000,4489,1920,,ei,tyyd.,oma,E2018,2024-01-16
Malmi,"4h, k, s, kph, ",rt,"93,00",250000,2688,1983,2/2,ei,hyvä,vuokra,E2013,2024-01-16
Koskela,"4h, avok, s, er",kt,"97,00",442000,4557,2022,6/7,on,hyvä,vuokra,B2018,2024-01-16
Puistola,"4h, k, s, kph (",rt,"98,50",277000,2812,1984,1/2,ei,hyvä,vuokra,E2007,2024-01-16
Länsi-pakila,"4h, k, s+autota",rt,"112,00",342500,3058,1971,1/1,ei,tyyd.,oma,E,2024-01-16
Ullanlinna,4h+k+kph+2x eri,kt,"116,00",1220000,10517,1908,2/3,ei,hyvä,oma,F2018,2024-01-16
Mellunmäki,"4h, k, kph, s, p",kt,"96,50",225000,2332,1975,1/3,ei,tyyd.,oma,E2007,2024-01-16
Kallio,"4h, avokeitti",kt,"69,50",297000,4273,1984,7/8,on,huono,oma,E2013,2024-01-16
Pihlajamäki,4h+kk+parveke,kt,"76,00",115000,1513,1963,1/7,on,tyyd.,vuokra,F2013,2024-01-16
Mellunmäki,"3-4 h,k",kt,"86,00",180000,2093,1968,1/3,ei,hyvä,oma,,2024-01-16
Itäkeskus,"4h, k, s, parve",kt,"88,00",150000,1705,1981,3/4,on,huono,vuokra,D2018,2024-01-16
Töölö,"4k,k",kt,"114,00",496000,4351,1927,5/6,on,tyyd.,oma,D2007,2024-01-16
Ruskeasuo,"4-5h, k, kph,wc",kt,"86,30",491684,5697,1966,3/3,ei,hyvä,vuokra,E2007,2024-01-16
Käpylä,"4h, k, s, kph/w",kt,"91,00",385000,4231,1985,2/3,ei,tyyd.,vuokra,F2013,2024-01-16
Kruununhaka,"4h,k",kt,"136,00",980000,7206,1926,6/7,on,tyyd.,oma,,2024-01-16
Käpylä,5h + k + kph + wc,rt,"76,00",625000,8224,1921,-1/2,ei,hyvä,vuokra,F2018,2024-01-16
Puistola,4 + k + S,rt,"96,00",207000,2156,1966,1/1,ei,tyyd.,oma,,2024-01-16
Vuosaari,"4h, k, kph, s, ",rt,"98,00",383000,3908,2002,1/2,ei,hyvä,oma,E2007,2024-01-16
Viikinmäki,"4h, k, 2x kph, ",rt,"98,00",426000,4347,2014,-1/2,on,hyvä,vuokra,C2013,2024-01-16
Puotinharju,"4h, k, kph, 2vh",kt,"87,00",181500,2086,1962,1/5,on,huono,vuokra,D2018,2024-01-16
Kulosaari,"3-4h, avok, kph",rt,"90,00",676000,7511,1960,-1/2,ei,hyvä,oma,E2007,2024-01-16
Käpylä,"5h, k, kph, eri",kt,"99,50",545000,5477,1954,1/3,ei,hyvä,vuokra,E2018,2024-01-16
Lehtisaari,"6h, k, rt, takk",rt,"156,10",635000,4068,1967,3/3,ei,hyvä,vuokra,,2024-01-16
Tammisalo,"5-6h, k, 3xvh, ",rt,"231,00",960000,4156,1974,1/3,ei,hyvä,oma,E2013,2024-01-16
Alppila,"4h, rt, k, kph,",kt,"86,00",634000,7372,2016,4/7,on,hyvä,oma,C2013,2024-01-16
Malmi,"5 h, k, 2 kph, ",ok,"138,00",487000,3529,2011,,ei,hyvä,vuokra,,2024-01-16
Länsi-pakila,"3-4 h,k,s,kph/2",rt,"106,50",476000,4469,1994,-1/2,ei,hyvä,oma,F,2024-01-16
Malmi,"4h,avok,3kph,s,",rt,"109,00",431000,3954,2017,1/3,ei,hyvä,oma,C2013,2024-01-16
Viikki,"5h, k, kph/saun",rt,"124,00",437000,3524,2006,1/2,ei,tyyd.,oma,D2018,2024-01-16
